Germplasm Name,Germplasm GID,Test (T) or Check (C),Exp Title ,Exp Description,Exp Unit,Exp Type,Env,Env Location,Env Year,Exp Unit ID,Exp Replicate #,Exp Block #,Row,Column,Lat,Long,Elevation,RTK,Treatment Factors,ObsUnitID
Germplas153,7,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 37,New Location DRP32,2001,9416,1,2,4,5,,,,,Jam application,
Germplas154,8,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 38,New Location DRP33,2001,9417,1,2,4,5,,,,,Jam application,
Germplas155,9,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 39,New Location DRP34,2001,9418,1,2,4,5,,,,,Jam application,
Germplas156,10,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 40,New Location DRP35,2001,9419,1,2,4,5,,,,,Jam application,
Germplas157,1,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 41,New Location DRP36,2001,9420,1,2,4,5,,,,,Jam application,
Germplas158,2,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 42,New Location DRP37,2001,9421,1,2,4,5,,,,,Jam application,
Germplas159,3,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 43,New Location DRP38,2001,9422,1,2,4,5,,,,,Jam application,
Germplas160,4,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 44,New Location DRP39,2001,9423,1,2,4,5,,,,,Jam application,
Germplas161,5,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 45,New Location DRP40,2001,9424,1,2,4,5,,,,,Jam application,
Germplas162,6,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 46,New Location DRP41,2001,9425,1,2,4,5,,,,,Jam application,
Germplas163,7,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 47,New Location DRP42,2001,9426,1,2,4,5,,,,,Jam application,
Germplas164,8,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 48,New Location DRP43,2001,9427,1,2,4,5,,,,,Jam application,
Germplas165,9,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 49,New Location DRP44,2001,9428,1,2,4,5,,,,,Jam application,
Germplas166,10,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 50,New Location DRP45,2001,9429,1,2,4,5,,,,,Jam application,
Germplas167,1,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 51,New Location DRP46,2001,9430,1,2,4,5,,,,,Jam application,
Germplas168,2,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 52,New Location DRP47,2001,9431,1,2,4,5,,,,,Jam application,
Germplas169,3,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 53,New Location DRP48,2001,9432,1,2,4,5,,,,,Jam application,
Germplas170,4,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 54,New Location DRP49,2001,9433,1,2,4,5,,,,,Jam application,
Germplas171,5,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 55,New Location DRP50,2001,9434,1,2,4,5,,,,,Jam application,
Germplas172,6,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 56,New Location DRP51,2001,9435,1,2,4,5,,,,,Jam application,
Germplas173,7,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 57,New Location DRP52,2001,9436,1,2,4,5,,,,,Jam application,
Germplas174,8,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 58,New Location DRP53,2001,9437,1,2,4,5,,,,,Jam application,
Germplas175,9,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 59,New Location DRP54,2001,9438,1,2,4,5,,,,,Jam application,
Germplas176,10,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 60,New Location DRP55,2001,9439,1,2,4,5,,,,,Jam application,
Germplas177,1,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 61,New Location DRP56,2001,9440,1,2,4,5,,,,,Jam application,
Germplas178,2,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 62,New Location DRP57,2001,9441,1,2,4,5,,,,,Jam application,
Germplas179,3,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 63,New Location DRP58,2001,9442,1,2,4,5,,,,,Jam application,
Germplas180,4,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 64,New Location DRP59,2001,9443,1,2,4,5,,,,,Jam application,
Germplas181,5,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 65,New Location DRP60,2001,9444,1,2,4,5,,,,,Jam application,
Germplas182,6,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 66,New Location DRP61,2001,9445,1,2,4,5,,,,,Jam application,
Germplas183,7,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 67,New Location DRP62,2001,9446,1,2,4,5,,,,,Jam application,
Germplas184,8,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 68,New Location DRP63,2001,9447,1,2,4,5,,,,,Jam application,
Germplas185,9,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 69,New Location DRP64,2001,9448,1,2,4,5,,,,,Jam application,
Germplas186,10,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 70,New Location DRP65,2001,9449,1,2,4,5,,,,,Jam application,
Germplas187,1,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 71,New Location DRP66,2001,9450,1,2,4,5,,,,,Jam application,
Germplas188,2,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 72,New Location DRP67,2001,9451,1,2,4,5,,,,,Jam application,
Germplas189,3,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 73,New Location DRP68,2001,9452,1,2,4,5,,,,,Jam application,
Germplas190,4,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 74,New Location DRP69,2001,9453,1,2,4,5,,,,,Jam application,
Germplas191,5,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 75,New Location DRP70,2001,9454,1,2,4,5,,,,,Jam application,
Germplas192,6,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 76,New Location DRP71,2001,9455,1,2,4,5,,,,,Jam application,
Germplas193,7,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 77,New Location DRP72,2001,9456,1,2,4,5,,,,,Jam application,
Germplas194,8,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 78,New Location DRP73,2001,9457,1,2,4,5,,,,,Jam application,
Germplas195,9,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 79,New Location DRP74,2001,9458,1,2,4,5,,,,,Jam application,
Germplas196,10,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 80,New Location DRP75,2001,9459,1,2,4,5,,,,,Jam application,
Germplas197,1,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 81,New Location DRP76,2001,9460,1,2,4,5,,,,,Jam application,
Germplas198,2,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 82,New Location DRP77,2001,9461,1,2,4,5,,,,,Jam application,
Germplas199,3,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 83,New Location DRP78,2001,9462,1,2,4,5,,,,,Jam application,
Germplas200,4,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 84,New Location DRP79,2001,9463,1,2,4,5,,,,,Jam application,
Germplas201,5,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 85,New Location DRP80,2001,9464,1,2,4,5,,,,,Jam application,
Germplas202,6,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 86,New Location DRP81,2001,9465,1,2,4,5,,,,,Jam application,
Germplas203,7,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 87,New Location DRP82,2001,9466,1,2,4,5,,,,,Jam application,
Germplas204,8,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 88,New Location DRP83,2001,9467,1,2,4,5,,,,,Jam application,
Germplas205,9,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 89,New Location DRP84,2001,9468,1,2,4,5,,,,,Jam application,
Germplas206,10,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 90,New Location DRP85,2001,9469,1,2,4,5,,,,,Jam application,
Germplas207,1,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 91,New Location DRP86,2001,9470,1,2,4,5,,,,,Jam application,
Germplas208,2,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 92,New Location DRP87,2001,9471,1,2,4,5,,,,,Jam application,
Germplas209,3,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 93,New Location DRP88,2001,9472,1,2,4,5,,,,,Jam application,
Germplas210,4,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 94,New Location DRP89,2001,9473,1,2,4,5,,,,,Jam application,
Germplas211,5,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 95,New Location DRP90,2001,9474,1,2,4,5,,,,,Jam application,
Germplas212,6,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 96,New Location DRP91,2001,9475,1,2,4,5,,,,,Jam application,
Germplas213,7,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 97,New Location DRP92,2001,9476,1,2,4,5,,,,,Jam application,
Germplas214,8,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 98,New Location DRP93,2001,9477,1,2,4,5,,,,,Jam application,
Germplas215,9,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 99,New Location DRP94,2001,9478,1,2,4,5,,,,,Jam application,
Germplas216,10,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 100,New Location DRP95,2001,9479,1,2,4,5,,,,,Jam application,
Germplas217,1,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 101,New Location DRP96,2001,9480,1,2,4,5,,,,,Jam application,
Germplas218,2,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 102,New Location DRP97,2001,9481,1,2,4,5,,,,,Jam application,
Germplas219,3,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 103,New Location DRP98,2001,9482,1,2,4,5,,,,,Jam application,
Germplas220,4,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 104,New Location DRP99,2001,9483,1,2,4,5,,,,,Jam application,
Germplas221,5,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 105,New Location DRP100,2001,9484,1,2,4,5,,,,,Jam application,
Germplas222,6,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 106,New Location DRP101,2001,9485,1,2,4,5,,,,,Jam application,
Germplas223,7,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 107,New Location DRP102,2001,9486,1,2,4,5,,,,,Jam application,
Germplas224,8,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 108,New Location DRP103,2001,9487,1,2,4,5,,,,,Jam application,
Germplas225,9,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 109,New Location DRP104,2001,9488,1,2,4,5,,,,,Jam application,
Germplas226,10,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 110,New Location DRP105,2001,9489,1,2,4,5,,,,,Jam application,
Germplas227,1,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 111,New Location DRP106,2001,9490,1,2,4,5,,,,,Jam application,
Germplas228,2,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 112,New Location DRP107,2001,9491,1,2,4,5,,,,,Jam application,
Germplas229,3,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 113,New Location DRP108,2001,9492,1,2,4,5,,,,,Jam application,
Germplas230,4,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 114,New Location DRP109,2001,9493,1,2,4,5,,,,,Jam application,
Germplas231,5,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 115,New Location DRP110,2001,9494,1,2,4,5,,,,,Jam application,
Germplas232,6,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 116,New Location DRP111,2001,9495,1,2,4,5,,,,,Jam application,
Germplas233,7,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 117,New Location DRP112,2001,9496,1,2,4,5,,,,,Jam application,
Germplas234,8,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 118,New Location DRP113,2001,9497,1,2,4,5,,,,,Jam application,
Germplas235,9,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 119,New Location DRP114,2001,9498,1,2,4,5,,,,,Jam application,
Germplas236,10,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 120,New Location DRP115,2001,9499,1,2,4,5,,,,,Jam application,
Germplas237,1,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 121,New Location DRP116,2001,9500,1,2,4,5,,,,,Jam application,
Germplas238,2,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 122,New Location DRP117,2001,9501,1,2,4,5,,,,,Jam application,
Germplas239,3,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 123,New Location DRP118,2001,9502,1,2,4,5,,,,,Jam application,
Germplas240,4,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 124,New Location DRP119,2001,9503,1,2,4,5,,,,,Jam application,
Germplas241,5,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 125,New Location DRP120,2001,9504,1,2,4,5,,,,,Jam application,
Germplas242,6,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 126,New Location DRP121,2001,9505,1,2,4,5,,,,,Jam application,
Germplas243,7,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 127,New Location DRP122,2001,9506,1,2,4,5,,,,,Jam application,
Germplas244,8,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 128,New Location DRP123,2001,9507,1,2,4,5,,,,,Jam application,
Germplas245,9,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 129,New Location DRP124,2001,9508,1,2,4,5,,,,,Jam application,
Germplas246,10,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 130,New Location DRP125,2001,9509,1,2,4,5,,,,,Jam application,
Germplas247,1,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 131,New Location DRP126,2001,9510,1,2,4,5,,,,,Jam application,
Germplas248,2,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 132,New Location DRP127,2001,9511,1,2,4,5,,,,,Jam application,
Germplas249,3,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 133,New Location DRP128,2001,9512,1,2,4,5,,,,,Jam application,
Germplas250,4,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 134,New Location DRP129,2001,9513,1,2,4,5,,,,,Jam application,
Germplas251,5,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 135,New Location DRP130,2001,9514,1,2,4,5,,,,,Jam application,
Germplas252,6,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 136,New Location DRP131,2001,9515,1,2,4,5,,,,,Jam application,
Germplas253,7,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 137,New Location DRP132,2001,9516,1,2,4,5,,,,,Jam application,
Germplas254,8,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 138,New Location DRP133,2001,9517,1,2,4,5,,,,,Jam application,
Germplas255,9,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 139,New Location DRP134,2001,9518,1,2,4,5,,,,,Jam application,
Germplas256,10,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 140,New Location DRP135,2001,9519,1,2,4,5,,,,,Jam application,
Germplas257,1,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 141,New Location DRP136,2001,9520,1,2,4,5,,,,,Jam application,
Germplas258,2,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 142,New Location DRP137,2001,9521,1,2,4,5,,,,,Jam application,
Germplas259,3,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 143,New Location DRP138,2001,9522,1,2,4,5,,,,,Jam application,
Germplas260,4,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 144,New Location DRP139,2001,9523,1,2,4,5,,,,,Jam application,
Germplas261,5,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 145,New Location DRP140,2001,9524,1,2,4,5,,,,,Jam application,
Germplas262,6,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 146,New Location DRP141,2001,9525,1,2,4,5,,,,,Jam application,
Germplas263,7,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 147,New Location DRP142,2001,9526,1,2,4,5,,,,,Jam application,
Germplas264,8,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 148,New Location DRP143,2001,9527,1,2,4,5,,,,,Jam application,
Germplas265,9,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 149,New Location DRP144,2001,9528,1,2,4,5,,,,,Jam application,
Germplas266,10,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 150,New Location DRP145,2001,9529,1,2,4,5,,,,,Jam application,
Germplas267,1,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 151,New Location DRP146,2001,9530,1,2,4,5,,,,,Jam application,
Germplas268,2,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 152,New Location DRP147,2001,9531,1,2,4,5,,,,,Jam application,
Germplas269,3,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 153,New Location DRP148,2001,9532,1,2,4,5,,,,,Jam application,
Germplas270,4,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 154,New Location DRP149,2001,9533,1,2,4,5,,,,,Jam application,
Germplas271,5,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 155,New Location DRP150,2001,9534,1,2,4,5,,,,,Jam application,
Germplas272,6,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 156,New Location DRP151,2001,9535,1,2,4,5,,,,,Jam application,
Germplas273,7,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 157,New Location DRP152,2001,9536,1,2,4,5,,,,,Jam application,
Germplas274,8,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 158,New Location DRP153,2001,9537,1,2,4,5,,,,,Jam application,
Germplas275,9,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 159,New Location DRP154,2001,9538,1,2,4,5,,,,,Jam application,
Germplas276,10,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 160,New Location DRP155,2001,9539,1,2,4,5,,,,,Jam application,
Germplas277,1,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 161,New Location DRP156,2001,9540,1,2,4,5,,,,,Jam application,
Germplas278,2,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 162,New Location DRP157,2001,9541,1,2,4,5,,,,,Jam application,
Germplas279,3,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 163,New Location DRP158,2001,9542,1,2,4,5,,,,,Jam application,
Germplas280,4,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 164,New Location DRP159,2001,9543,1,2,4,5,,,,,Jam application,
Germplas281,5,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 165,New Location DRP160,2001,9544,1,2,4,5,,,,,Jam application,
Germplas282,6,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 166,New Location DRP161,2001,9545,1,2,4,5,,,,,Jam application,
Germplas283,7,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 167,New Location DRP162,2001,9546,1,2,4,5,,,,,Jam application,
Germplas284,8,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 168,New Location DRP163,2001,9547,1,2,4,5,,,,,Jam application,
Germplas285,9,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 169,New Location DRP164,2001,9548,1,2,4,5,,,,,Jam application,
Germplas286,10,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 170,New Location DRP165,2001,9549,1,2,4,5,,,,,Jam application,
Germplas287,1,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 171,New Location DRP166,2001,9550,1,2,4,5,,,,,Jam application,
Germplas288,2,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 172,New Location DRP167,2001,9551,1,2,4,5,,,,,Jam application,
Germplas289,3,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 173,New Location DRP168,2001,9552,1,2,4,5,,,,,Jam application,
Germplas290,4,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 174,New Location DRP169,2001,9553,1,2,4,5,,,,,Jam application,
Germplas291,5,T,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 175,New Location DRP170,2001,9554,1,2,4,5,,,,,Jam application,
Germplas292,6,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 176,New Location DRP171,2001,9555,1,2,4,5,,,,,Jam application,
Germplas293,7,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 177,New Location DRP172,2001,9556,1,2,4,5,,,,,Jam application,
Germplas294,8,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 178,New Location DRP173,2001,9557,1,2,4,5,,,,,Jam application,
Germplas295,9,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 179,New Location DRP174,2001,9558,1,2,4,5,,,,,Jam application,
Germplas296,10,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 180,New Location DRP175,2001,9559,1,2,4,5,,,,,Jam application,
Germplas297,1,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 181,New Location DRP176,2001,9560,1,2,4,5,,,,,Jam application,
Germplas298,2,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 182,New Location DRP177,2001,9561,1,2,4,5,,,,,Jam application,
Germplas299,3,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 183,New Location DRP178,2001,9562,1,2,4,5,,,,,Jam application,
Germplas300,4,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 184,New Location DRP179,2001,9563,1,2,4,5,,,,,Jam application,
Germplas301,5,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 185,New Location DRP180,2001,9564,1,2,4,5,,,,,Jam application,
Germplas302,6,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 186,New Location DRP181,2001,9565,1,2,4,5,,,,,Jam application,
Germplas303,7,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 187,New Location DRP182,2001,9566,1,2,4,5,,,,,Jam application,
Germplas304,8,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 188,New Location DRP183,2001,9567,1,2,4,5,,,,,Jam application,
Germplas305,9,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 189,New Location DRP184,2001,9568,1,2,4,5,,,,,Jam application,
Germplas306,10,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 190,New Location DRP185,2001,9569,1,2,4,5,,,,,Jam application,
Germplas307,1,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 191,New Location DRP186,2001,9570,1,2,4,5,,,,,Jam application,
Germplas308,2,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 192,New Location DRP187,2001,9571,1,2,4,5,,,,,Jam application,
Germplas309,3,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 193,New Location DRP188,2001,9572,1,2,4,5,,,,,Jam application,
Germplas310,4,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 194,New Location DRP189,2001,9573,1,2,4,5,,,,,Jam application,
Germplas311,5,C,New Trial DRP1,A new trial DRP,plot,phenotyping,New Study 195,New Location DRP190,2001,9574,1,2,4,5,,,,,Jam application,
